Count,ExcerptPostId,Id,TagName,WikiPostId
8,,344,australia,
28,,345,turbo-trainer,
16,,346,rollers,
217,21704,351,suspension,21703
8,,353,leather,
15,,360,smartphone-mount,
20,,363,bike-setup,
5,6955,365,frozen,6954
80,,366,adjustment,
75,58059,372,shopping,58058
39,,374,exercise,
7,15498,376,cross-training,15497
27,37085,378,downtube-shifter,37084
11,20596,382,travelling,20595
9,,388,salt,
83,5525,389,commuting-bike,5524
246,30792,390,rims,30791
14,,404,performance-tracking,
8,,408,evaluation,
27,46191,409,master-link,46190
33,4507,410,bike-selection,4506
48,12946,416,tandems,12945
3,,421,open-source,
33,5592,424,framebuilding,5591
50,,425,restoration,
2,,430,prototype,
2,3075,431,bicycle,3074
25,,432,planning,
33,,447,belt-drive,
49,,449,design,
29,44858,453,history,44857
23,29344,458,kickstand,29343
66,8479,459,quick-release,8478
96,38821,463,wheel-building,38820
97,3118,464,frugal,3117
18,28487,466,brompton,28486
20,,469,europe,
349,43592,473,identify-this-bike,43591
44,4847,474,spd,4846
18,,476,electronics,
11,,478,electric-power,
7,4849,479,mixte,4848
58,38861,482,gps,38860
6,,484,android,
48,9996,487,transportation,9995
7,,490,chain-tug,
30,,491,installation,
86,63095,492,damage,63094
10,,493,corrosion,
12,4851,495,27-inch,4850
15,,496,gloves,
15,4196,501,london,4195
76,47118,502,lighting,47117
126,38890,506,upgrades,38889
18,,509,germany,
11,,510,sharing-scheme,
17,,511,torque-wrench,
130,23515,513,hybrid-bike,23514
256,15236,520,innertube,15235
8,,530,jacket,
29,24621,532,triathlon,24620
24,4537,534,women-specific,4536
16,,535,bottle,
6,,538,emergency,
53,,542,riding-position,
31,37087,543,hydration,37086
4,,545,gel-saddle,
33,,547,physics,
8,,549,clothing-care,
2,,552,lanes,
29,,553,protection,
22,,564,group-rides,
25,,569,cruiser,
24,,571,rim-tape,
15,,575,bike-lane,
7,,580,ceramic,
11,5398,583,parking-racks,5397
4,,585,body-hair,
38,63097,589,accidents,63096
22,,592,track-racing,
23,37083,595,glasses,37082
10,,598,organized-rides,
19,5817,601,brake-noise,5816
24,,605,bike-vs-car,
9,,606,mirrors,
40,,607,equipment,
11,6943,608,stationary-bike,6942
6,,617,preparation,
4,,621,coolweather,
5,8559,622,penny-farthing,8558
117,44734,623,cable,44733
128,40489,624,shifting,40488
31,,630,chainline,
4,6979,631,bamboo,6978
44,,634,shocks,
21,38511,637,7-speed,38510
106,63093,638,axle,63092
5,7558,639,multi-tool,7557
37,7941,642,drivetrain-slipping,7940
7,,643,repair-stand,
51,38513,644,aerodynamics,38512
22,,645,skewer,
23,41316,646,titanium,41315
29,,647,wheelset,
225,27445,649,compatibility,27444
62,,651,long-distance,
35,,653,race,
18,9465,657,navigation,9464
4,9400,660,men-specific,9399
3,,662,liability,
23,,664,handlebar-tape,
39,38867,665,cleat,38866
135,44730,666,replacement,44729
9,9645,669,sun-protection,9644
20,,671,shorts,
138,44787,672,rear-wheel,44786
24,18719,674,xc,18718
3,,678,animal-attack,
12,,679,muscle-pain,
15,10427,683,lbs,10426
5,,685,trackstand,
8,,686,competition,
6,10979,688,doping,10978
13,,690,racing-bikes,
9,38548,691,racing-strategy,38547
62,20792,693,preventative-maintenance,20791
72,37081,695,campagnolo,37080
17,,696,taillight,
17,,698,clamp,
25,,702,kids,
9,,703,adjustment-screw,
28,,704,gravel,
10,,707,california,
8,,712,toe-straps-clips,
3,,713,toe-overlap,
16,13259,716,century,13258
33,,720,advice,
10,44697,721,animals,44696
41,16367,724,garmin,16366
12,,728,night-riding,
6,14093,730,650b,14092
36,,733,nexus,
300,38888,734,derailleur-rear,38887
4,,735,rails,
16,,736,failure,
49,,737,downhill,
15,,738,nipples,
12,15023,740,flip-flop-hub,15022
40,,741,pain,
75,15238,744,tubeless,15237
20,,749,skipping,
4,,751,citi-bike,
8,42074,752,bike-share,42073
9,,753,topeak,
7,,755,basket,
13,,757,braking,
50,44688,758,trek,44687
64,,759,beginner,
5,16949,762,lefty-fork,16948
5,51753,766,tire-lever,51752
5,17850,768,reliability,17849
13,,769,diamondback,
41,,771,rotor,
20,45259,779,new-bicycle-assembly,45258
159,44732,780,vintage,44731
81,63101,782,brake-levers,63100
39,,785,thru-axle,
27,20669,789,fatbike,20668
23,,790,tension,
20,,791,hills,
5,,792,interrupter-brakes,
9,,793,pads,
20,,797,shimano-di2,
26,,802,battery,
26,,805,cable-routing,
65,,808,tire-pressure,
3,24336,809,handcycle,24335
68,34622,812,freehub,34621
22,,813,steerer,
11,,817,pedals-flat,
26,,818,pedals-clipless,
15,,821,hanger,
21,,822,alignment,
3,29775,823,ant+,29774
39,30172,824,groupsets,30171
19,,825,jumping,
24,,827,grease,
8,,828,mud,
24,57486,829,specialized-bikes,57485
3,,832,bike-handling,
19,,833,hybrid,
33,45448,839,giant,45447
30,36919,840,strava,36918
16,,842,comfort,
7,38898,843,uci,38897
23,,844,dynamo,
15,,845,cones,
22,,847,cable-housing,
78,,848,derailleur-front,
13,43811,849,bikepacking,43810
6,,850,vibration,
76,63091,856,road,63090
1,36798,857,ordinary,36797
1,36800,858,dicycle,36799
2,36802,859,sociable,36801
14,37021,862,hypothetical,37020
10,,863,drum-brakes,
9,40713,867,tall,40712
8,46043,871,disability,46042
2,,872,amsterdam,
4,38654,875,shaft,38653
17,57876,876,alfine,57875
5,38859,877,di2,38858
2,43861,879,steps,43860
7,,880,balance,
3,40562,881,balance-bike,40561
42,41363,884,sealant,41362
13,,892,rohloff,
3,43374,893,chrome,43373
6,,895,theoretical,
2,,905,hyperglide,
10,51412,907,customization,51411
1,44556,908,fabrication,44555
2,44855,914,trivia,44854
2,44943,916,boost,44942
2,44945,917,boost-spacing,44944
6,,918,flatbar,
2,45100,923,draisine,45099
5,,924,lockout,
10,,926,peugeot,
13,45179,927,bso,45178
3,,929,bb30,
3,,930,bsa,
5,63061,932,charging,63060
12,,937,drop-bar,
10,46041,939,adaptive,46040
2,,943,stand,
4,,944,fox,
3,47308,950,japan,47307
9,,951,hardtail,
15,,955,tour-de-france,
10,49292,956,sensor,49291
4,,959,shim,
3,,960,french,
12,,962,bolt,
18,51533,964,heavy,51532
2,,965,high-spoke-count,
18,50077,966,derailleur-hanger,50076
4,50220,967,roller-brake,50219
6,50238,968,wheel-lock,50237
1,50970,970,band-brake,50969
6,50544,972,tourney,50543
4,,973,alternative-drivetrain,
15,50968,976,new-rider,50967
2,,977,bullhorn,
9,,978,brifters,
4,51231,980,small,51230
33,,981,size,
17,51529,983,clydesdale,51528
12,,988,tyre-width,
2,,989,statistics,
3,51733,991,bodges,51732
1,52561,1004,television,52560
7,53799,1005,math,53798
1,53869,1006,tall-bike,53868
4,54076,1010,movie,54075
3,,1013,zipp,
7,,1014,gates,
8,,1019,wobble,
3,,1020,newbie,
4,,1021,frame-protection,
3,,1022,schwinn,
5,,1025,hollowtech,
7,,1026,time-trial,
5,,1028,press-fit,
1,56066,1029,youth,56065
5,,1030,serial-number,
3,,1032,steering,
9,63099,1037,crash,63098
3,,1040,dirt-jumps,
3,57677,1041,chain-guide,57676
3,,1044,dropper,
2,58488,1045,endurance,58487
6,,1046,grip-shifter,
2,,1047,rickshaw,
1,,1048,recovery,
2,60214,1049,aero-bars,60213
5,,1050,barrel-adjuster,
1,,1051,cross-thread,
1,,1052,cotter-pin,
2,,1053,paint,
1,,1056,how-to,
1,,1058,disc-wheel,
1,,1059,longevity,
1,,1060,cass,
1,,1061,decals,
